 2016-06-09 11:23:40,730 [P254560/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on WINDEV2008
 2016-06-09 11:23:41,542 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-06-09 11:23:41,563 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 21ms)
 2016-06-09 11:23:41,793 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-06-09 11:23:42,135 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 342ms)
 2016-06-09 11:23:42,300 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-06-09 11:23:42,302 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2016-06-09 11:23:42,303 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-06-09 11:23:42,304 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-06-09 11:23:42,330 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-06-09 11:23:42,331 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2016-06-09 11:23:42,331 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-06-09 11:23:42,412 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 80ms)
 2016-06-09 11:23:42,537 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-06-09 11:23:42,538 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2016-06-09 11:23:42,538 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-06-09 11:23:42,539 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-06-09 11:23:45,211 [P254560/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:23:45,728 [P254560/D3/T1] INFO  Epiphany.SeoMetadata.SeoMetadataStartup - Configured SeoMetadataUrlSegmentProvider
 2016-06-09 11:23:45,862 [P254560/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:23:45,908 [P254560/D3/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:23:46,345 [P254560/D3/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-06-09 11:23:46,544 [P254560/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-06-09 11:23:46,721 [P254560/D3/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-06-09 11:23:46,736 [P254560/D3/T1] INFO  Umbraco.Forms.Core.Cache.CacheEventHandler - Initializing Umbraco Forms Events to trigger Cache Refreshers
 2016-06-09 11:23:46,772 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-06-09 11:23:46,775 [P254560/D3/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2016-06-09 11:23:47,499 [P254560/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 7007ms)
 2016-06-09 11:23:51,097 [P254560/D3/T18] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://dev-liam.useconnect.co.uk:80/umbraco (UmbracoModule request)
 2016-06-09 11:23:54,566 [P254560/D3/T67] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-06-09 11:23:54,567 [P254560/D3/T67] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2016-06-09 11:24:06,111 [P254560/D3/T127] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt failed for username liam.mcdermott@connectinternetsolutions.com from IP address 10.0.1.182
 2016-06-09 11:24:12,251 [P254560/D3/T44] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt failed for username liam.mcdermott@connectinternetsolutions.com from IP address 10.0.1.182
 2016-06-09 11:24:17,795 [P254560/D3/T121] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: Login attempt succeeded for username liam.mcdermott@connectinternetsolutions.com from IP address 10.0.1.182
 2016-06-09 11:24:17,795 [P254560/D3/T121] INFO  Umbraco.Core.Security.BackOfficeSignInManager - Event Id: 0, state: User: liam.mcdermott@connectinternetsolutions.com logged in from IP address 10.0.1.182
 2016-06-09 11:24:18,251 [P254560/D3/T95] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
